Transaction_ID,Customer_ID,Customer_Name,Email,Order_Date,Delivery_Date,Product_Category,Region,Sales_Amount,Vendor_ID,Data_Status
T00000001,C221958,Daniel Brown,daniel.brown@outlook.com,2024-07-07,2024-07-08,Electronics,West,55.49,V8456,
T00000002,C771155,Noah Jackson,noah.jackson@hotmail.com,2024-01-05,2024-01-10,Electronics,South,57.86,V2431,
T00000003,C231932,,mia.brown@company.com,2024-10-12,,Office,North,123.04,V6626,
T00000004,C465838,James Jackson,james.jackson@yahoo.com,2024-10-04,2024-10-05,Beauty,West,79.86,V8224,
T00000005,C359178,Daniel Johnson,daniel.johnson@company.com,2024-05-24,,Apparel,North,64.45,V9729,
T00000006,C744167,Noah Thomas,noah.thomas@hotmail.com,2024-07-14,2024-07-25,Home,North,36.5,V5267,
T00000007,C210268,Daniel Walker,daniel.walker@hotmail.com,2026-12-07,,Apparel,North,40.46,V7463,
T00000008,C832180,Charlotte Young,charlotte.young@gmail.com,2024-05-06,2024-05-19,Beauty,South,30.67,V4119,
T00000009,C154886,Mia Young,mia.young@gmail.com,2024-05-14,2024-05-24,Electronics,South,40.97,V1173,
T00000010,C237337,Sarah King,sarah.king@yahoo.com,2024-01-23,2024-02-06,Grocery,North,153.75,V8129,
T00000011,C621430,Sarah Hall,sarah.hall@gmail.com,2024-11-26,2024-12-08,Apparel,South,51.05,V6890,
T00000012,C187498,Isabella Anderson,isabella.anderson@outlook.com,2024-04-26,2024-05-09,Office,East,60.9,V1397,
T00000013,C999159,Ava Martin,ava.martin@yahoo.com,2024-01-08,2024-01-20,Beauty,West,41.92,V1764,
T00000014,C275203,Mia Martin,mia.martin@outlook.com,2024-04-10,2024-04-14,Home,North,31.13,V7866,
T00000015,C291335,Charlotte White,charlotte.white@gmail.com,2024-09-17,2024-09-21,Grocery,North,59.65,V3307,
T00000016,C378167,Liam Young,liam.young@yahoo.com,2024-07-17,2024-07-31,Electronics,,59.72,V2790,
T00000017,C141090,Daniel Johnson,daniel.johnson@hotmail.com,2024-03-26,2024-03-27,Electronics,West,109.55,V5747,
T00000018,C429365,David Allen,david.allen@company.com,2024-08-15,2024-08-17,Apparel,South,40.7,V4042,
